company,models,COUNT,logo links,image links
Acura,Integra -- RL -- TL,689,https://1000logos.net/wp-content/uploads/2018/09/Acura-Logo-500x281.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNuYSZMv8qZAggsgiNBQIqHVWqL47Uh8gR2g&s
Audi,A4 -- A6 -- A8,468,https://di-uploads-pod3.dealerinspire.com/vindeversautohausofsylvania/uploads/2018/10/Audi-Logo-Banner.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvIK7Gs_l4TTNHpA7Cz3PoZ8FFB_OZ5c8SkQ&s
BMW,323i -- 328i -- 528i,790,https://1000logos.net/wp-content/uploads/2018/02/BMW-Logo-500x281.png,"https://bsmedia.business-standard.com/_media/bs/img/article/2024-01/11/full/1704993456-7402.jpg?im=FeatureCrop,size=(826,465)"
Buick,Century -- LeSabre -- Park Avenue -- Regal,439,https://di-uploads-pod35.dealerinspire.com/toddwenzelbuickgmcofdavison/uploads/2020/11/Buick_logo_768x500_o.jpg,https://imgd.aeplcdn.com/1280x720/cw/ec/21450/Chevrolet-Exterior-63858.jpg?wm=0&t=144004187&t=144004187
Cadillac,Catera -- DeVille -- Eldorado -- Escalade -- Seville,652,https://i.pinimg.com/736x/a9/01/5e/a9015e3d7a1416fabaa39167701802d1.jpg,https://www.topgear.com/sites/default/files/2021/12/1%20Cadillac%20Escalade.jpg
Chevrolet,Camaro -- Cavalier -- Corvette -- Impala -- Lumina -- Malibu -- Metro -- Monte Carlo -- Prizm,1819,https://1000logos.net/wp-content/uploads/2019/12/Chevrolet-logo-500x281.png,"https://static.tnn.in/thumb/msid-106148185,thumbsize-112958,width-1280,height-720,resizemode-75/106148185.jpg"
Chrysler,300M -- Cirrus -- Concorde -- LHS -- Sebring Conv. -- Sebring Coupe -- Town & Country,1120,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUE3xUji4iJMMVn5YtcwMCrqBW47Etsiwi8A&s,"https://carsguide-res.cloudinary.com/image/upload/f_auto,fl_lossy,q_auto,t_default/v1/editorial/vhs/Chrysler-300.png"
Dodge,Avenger -- Caravan -- Dakota -- Durango -- Intrepid -- Neon -- Ram Pickup -- Ram Van -- Ram Wagon -- Stratus -- Viper,1671,https://1000logos.net/wp-content/uploads/2024/04/Dodge-Hellcat-Logo-500x281.png,https://imgd.aeplcdn.com/370x208/n/cw/ec/125981/dodge-left-front-three-quarter2.jpeg?isig=0&q=80
Ford,Contour -- Crown Victoria -- Escort -- Expedition -- Explorer -- F-Series -- Focus -- Mustang -- Ranger -- Taurus -- Windstar,1614,https://1000logos.net/wp-content/uploads/2018/02/Ford-Logo-500x281.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyTIa9tQfWLdNrzJkxD6S3RYohKu5Wgdqnsg&s
Honda,Accord -- Civic -- CR-V -- Odyssey -- Passport,708,https://1000logos.net/wp-content/uploads/2018/03/Honda-Logo-500x281.png,https://cdni.autocarindia.com/utils/imageresizer.ashx?n=https://cms.haymarketindia.net/model/uploads/modelimages/Honda-Elevate-070620231227.jpg&w=872&h=578&q=75&c=1
Hyundai,Accent -- Elantra -- Sonata,264,https://m.media-amazon.com/images/I/5187vMyqRDL.jpg,https://imgd.aeplcdn.com/370x208/n/cw/ec/141115/creta-exterior-right-front-three-quarter-16.jpeg?isig=0
Infiniti,I30,195,https://i.pinimg.com/originals/d9/03/58/d9035831e3d12b9d4d194f9aa9ac4c13.jpg,https://hips.hearstapps.com/hmg-prod/images/infiniti-qx-monograph-concept-101-64da50e8b3085.jpg
Jaguar,S-Type,180,https://t3.ftcdn.net/jpg/02/99/04/12/240_F_299041269_lKF7f1IvtfsdelJe1YVSylrWUKVQRHq2.jpg,https://imgd-ct.aeplcdn.com/1200x900/n/cw/ec/46994/jaguar-f-type-right-front-three-quarter18.jpeg?q=80
Jeep,Cherokee -- Grand Cherokee -- Wrangler,363,https://i.pinimg.com/736x/df/4a/1f/df4a1fc5a0a36482d463403d18962138.jpg,https://www.jeep-india.com/content/dam/cross-regional/apac/jeep/en_in/vehicle-lineup/compass-lineup.png.img.500.png
Lexus,ES300 -- GS300 -- GS400 -- LS400 -- LX470 -- RX300,802,https://wallpapers.com/images/hd/lexus-logo-silver-926n2mfoxigh1xe6.jpg,https://imgd.aeplcdn.com/1200x900/n/cw/ec/35351/es-exterior-right-front-three-quarter-2.jpeg?isig=0&q=80
Lincoln,Continental -- Navigator -- Town car,492,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTesYosj0fCaq2HxkLKu77Z--OTt3VOJzDYTA&s,https://images-stag.jazelc.com/uploads/galpinlincoln-m2en/2019-lincoln-navigator-for-sale-in-los-angeles-1024x512.png
Mercedes-B,C-Class -- CL500 -- CLK Coupe -- E-Class -- M-Class -- S-Class -- SL-Class -- SLK -- SLK230,1285,https://1000logos.net/wp-content/uploads/2018/04/Mercedes-Benz-Logo-500x311.png,https://imgd.aeplcdn.com/664x374/n/cw/ec/48067/s-class-exterior-right-front-three-quarter-9.jpeg?isig=0&q=80
Mercury,Cougar -- Grand Marquis -- Mountaineer -- Mystique -- Sable -- Villager,874,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNEvM1Ouo0nzKX_GD_yjo3G-mXiLffoTYq5w&s,https://cars.usnews.com/static/images/Auto/izmo/316815/2010_mercury_mariner_angularfront.jpg
Mitsubishi,3000GT -- Diamante -- Eclipse -- Galant -- Mirage -- Montero -- Montero Sport,1277,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnZA0brzhNxfqTnmjH4spPG4keXXXwGjjj1Ofibl6nxMFmM7K4C4sRJaJ6R2Ow3KHYPNI&usqp=CAU,https://www.cartoq.com/wp-content/uploads/2012/03/mitsubishi-outlander-7-seater.jpg
Nissan,Altima -- Frontier -- Maxima -- Pathfinder -- Quest -- Sentra -- Xterra,886,https://i.pinimg.com/1200x/ca/63/20/ca6320373e008a405746002f1e75fca7.jpg,https://content.carlelo.com/uploads/UpcomingCar_img/1687780683.webp
Oldsmobile,Alero -- Aurora -- Bravada -- Cutlass -- Intrigue -- Silhouette,1111,https://www.carlogos.org/logo/Oldsmobile-logo-1996-1024x768.png,https://static1.hotcarsimages.com/wordpress/wp-content/uploads/2023/01/1970-oldsmobile-442-w30-front-three-quarters-1.JPG
Plymouth,Breeze -- Neon -- Prowler -- Voyager,617,https://logowik.com/content/uploads/images/plymouth-car6977.jpg,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2023/04/896/500/rts-4.jpg?ve=1&tl=1
Pontiac,Bonneville -- Firebird -- Grand Am -- Grand Prix -- Sunfire,796,https://i.pinimg.com/474x/24/02/8a/24028a00b41736a793f89dc4b40ff5d2.jpg,"https://crdms.images.consumerreports.org/c_lfill,w_270,q_auto,f_auto/prod/cars/chrome-historical/white/USB60POC111A0101"
Porsche,Boxter -- Carrera Cabrio -- Carrera Coupe,361,https://1000logos.net/wp-content/uploads/2018/02/Porsche-Logo-500x281.png,https://assets.porsche.com/in/bengaluru/-/media/Project/DealerWebsites/SharedDealersWebsite/Configurator-Teaser/911/911.jpg?rev=0607618f0469457c948e5a58efbbd1bb
Saab,3-Sep -- 5-Sep,210,https://www.carlogos.org/logo/Saab-logo-2000-1280x1024.png,https://www.autocar.co.uk/sites/autocar.co.uk/files/images/car-reviews/first-drives/legacy/saad.jpg
Saturn,LS -- LW -- SC -- SL -- SW,586,https://1000logos.net/wp-content/uploads/2020/03/Saturn-Logo-500x281.png,https://miro.medium.com/v2/resize:fit:1024/1*yjD2oZDUEMdYepp3FTBMTg.jpeg
Subaru,Forester -- Outback,405,https://1000logos.net/wp-content/uploads/2021/09/Subaru-Logo-500x281.png,https://cdn.oem-production.subaru.com.au/media/9193/my21_wrx_sti_awd_wrbluepearl_showroom_656x320.png
Toyota,4Runner -- Avalon -- Camry -- Celica -- Corolla -- Land Cruiser -- RAV4 -- Sienna -- Tacoma,1110,https://1000logos.net/wp-content/uploads/2021/04/Toyota-logo-500x281.png,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Fortuner/10903/1695443447797/front-left-side-47.jpg?impolicy=resize&imwidth=480
Volkswagen,Beetle -- Cabrio -- Golf -- GTI -- Jetta -- Passat,1333,https://1000logos.net/wp-content/uploads/2021/04/Volkswagen-logo-500x281.png,https://cars.usnews.com/static/images/Auto/izmo/i159615131/2022_volkswagen_arteon_angularfront.jpg
Volvo,C70 -- S40 -- S70 -- S80 -- V40 -- V70,789,https://1000logos.net/wp-content/uploads/2021/09/volvologo.jpg,https://akm-img-a-in.tosshub.com/businesstoday/images/story/201504/volvo_660_042115010526.jpg?size=948:533
